t_epoch_s,t_mono_ns,ch1_pct,ch2_pct,ch3_pct,ch4_pct,ch5_pct,ch6_pct,ch7_pct,ch8_pct
1764424546.452192,1516709143863,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.454681,1516711632354,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.457170,1516714121719,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.459679,1516716630626,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.462168,1516719119700,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.464661,1516721612565,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.467152,1516724103389,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.469659,1516726610254,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.472317,1516729268202,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.474808,1516731759318,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.477300,1516734251308,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.479810,1516736761674,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.482297,1516739248706,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.484793,1516741744780,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.487285,1516744236770,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.489791,1516746742469,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.492279,1516749230668,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.494769,1516751720325,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.497261,1516754212898,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.499800,1516756751555,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.502289,1516759240629,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.504778,1516761729995,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.507269,1516764220527,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.509781,1516766732642,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.512270,1516769221424,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.514761,1516771712540,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.517253,1516774204238,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
